Waf: Entering directory `/home/csmajs/dpham073/CS169/ns-allinone-3.25/ns-3.25/build'
Waf: Leaving directory `/home/csmajs/dpham073/CS169/ns-allinone-3.25/ns-3.25/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.482s)
10 0
10.3841 0.923277
10.2049 1.90708
10.8136 1.11368
10.8452 2.11318
10.9797 3.10409
// At time 2s client sent 1024 bytes to 10.1.2.4 port 9
// At time 2.01486s server received 1024 bytes from 10.1.3.2 port 49153
// At time 2.01486s server sent 1024 bytes to 10.1.3.2 port 49153
// At time 2.03054s client received 1024 bytes from 10.1.2.4 port 9
11.3273 4.04175
12.013 4.76955
12.4317 5.67771
// At time 3s client sent 1024 bytes to 10.1.2.4 port 9
// At time 3.00525s server received 1024 bytes from 10.1.3.2 port 49153
// At time 3.00525s server sent 1024 bytes to 10.1.3.2 port 49153
// At time 3.01051s client received 1024 bytes from 10.1.2.4 port 9
11.4607 5.91681
12.0155 6.74878
13.0076 6.62336
// At time 4s client sent 1024 bytes to 10.1.2.4 port 9
// At time 4.00525s server received 1024 bytes from 10.1.3.2 port 49153
// At time 4.00525s server sent 1024 bytes to 10.1.3.2 port 49153
// At time 4.01051s client received 1024 bytes from 10.1.2.4 port 9
12.6285 5.698
13.32 4.97559
13.1134 3.99715
// At time 5s client sent 1024 bytes to 10.1.2.4 port 9
// At time 5.00525s server received 1024 bytes from 10.1.3.2 port 49153
// At time 5.00525s server sent 1024 bytes to 10.1.3.2 port 49153
// At time 5.01051s client received 1024 bytes from 10.1.2.4 port 9
13.8359 4.68851
13.5953 3.71789
12.7595 4.26688
11.7629 4.34913
11.2292 5.19485
10.2344 5.09394
9.3601 4.60846
8.40025 4.32795
9.14292 4.99761
9.08299 5.99581
8.26068 5.42677
8.35917 6.42191
7.66805 7.14466
6.71414 6.84456
6.42489 7.80181
